mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_model__optimizer;param_model__neurons;param_model__loss;param_model__kernel_initializer;param_model__dropout_rate;param_model__activation;param_epochs;param_batch_size;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score
64.96353244781494;0.6471335132013961;0.6770636240641276;0.12967100075341056;adam;32;mse;normal;0.2;tanh;100;32;{'model__optimizer': 'adam', 'model__neurons': 32, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-53862.98057590991;-54005.23298670363;-53843.62465438009;-53903.946072331215;72.05526671420037;56
33.756540616353355;1.522321050387369;0.7045128345489502;0.07624177603368254;adam;32;mse;normal;0.0;relu;50;32;{'model__optimizer': 'adam', 'model__neurons': 32, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-1715.2648093537096;-1772.9546281899077;-1962.3263431282069;-1816.8485935572746;105.52996577435714;5
57.06059487660726;0.4126519110311999;0.6268977324167887;0.02863546963088701;sgd;16;mae;normal;0.2;relu;100;32;{'model__optimizer': 'sgd', 'model__neurons': 16, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-54190.373749127684;-54334.570190683124;-10584.021598801486;-39702.98851287076;20590.30311838456;37
53.930602073669434;1.0947827149160867;0.6209177176157633;0.029807188791535127;sgd;16;mse;random_uniform;0.2;tanh;100;32;{'model__optimizer': 'sgd', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-8863.181611148257;-9079.25596189846;-8798.87074373283;-8913.769438926514;119.92584898160744;26
26.224374532699585;1.6453731083903749;0.6490321159362793;0.10434343241542052;sgd;16;mae;random_uniform;0.0;relu;50;32;{'model__optimizer': 'sgd', 'model__neurons': 16, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-28663.79234279126;-54404.57599665236;-8843.119310481805;-30637.162549975143;18652.653543529217;34
59.41649309794108;0.7097730178445276;0.6280868053436279;0.14051161920418245;sgd;32;mae;random_uniform;0.2;tanh;100;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-49710.13978611499;-49855.40605188918;-49692.91057356954;-49752.8188038579;72.88035416675235;43
33.76720110575358;0.3234415246070464;0.6103914578755697;0.08726798844864325;adam;16;mse;random_uniform;0.3;relu;50;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-4008.4304946603793;-7998.085335206422;-6898.026730457571;-6301.514186774791;1682.4994993067692;15
61.32546957333883;1.0856423970517362;0.630823532740275;0.10156922787686956;sgd;4;mae;random_uniform;0.2;relu;100;32;{'model__optimizer': 'sgd', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-54190.373749127684;-54334.56518580031;-11810.376115847146;-40111.771683591716;20012.19530026739;38
64.3056853612264;0.8931558445142168;0.7104324499766032;0.1284081625878179;adam;32;mse;normal;0.0;tanh;100;32;{'model__optimizer': 'adam', 'model__neurons': 32, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-53859.90861546069;-54004.549331918475;-53841.09447249532;-53901.85080662483;73.02389251469901;53
30.689681847890217;0.8030525416660347;0.7297364075978597;0.09239230307363398;sgd;32;mae;random_uniform;0.0;tanh;50;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-52019.951065411864;-52165.05839563918;-52001.35490950704;-52062.1214568527;73.18225777084845;46
60.14047940572103;1.5757596617737655;0.7515319188435873;0.055417185113419545;adam;4;mae;random_uniform;0.0;relu;100;32;{'model__optimizer': 'adam', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-1700.550429837879;-1727.6130563939955;-1697.3304944909614;-1708.4979935742786;13.580162391294014;2
32.93772578239441;0.31550838556582855;0.7967782815297445;0.07324766795299734;adam;16;mse;random_uniform;0.0;tanh;50;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-54205.10603367358;-54349.23855616164;-54186.62255629659;-54246.98904871061;72.69402114099354;74
58.58994563420614;0.8061837679391665;0.7241156895955404;0.013842270168369199;sgd;32;mae;random_uniform;0.0;relu;100;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-54190.373749127684;-8991.080423282634;-8800.36869096822;-23993.94095445951;21352.244345476414;32
34.14467374483744;1.93817498417568;0.733401377995809;0.09223205549962224;adam;16;mse;normal;0.2;tanh;50;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-54204.432579388915;-54349.89678980422;-54187.774671164756;-54247.36801345263;72.8170491103862;76
29.395649353663128;0.6904719115991019;0.6231089433034261;0.08553014146941129;sgd;32;mae;normal;0.0;relu;50;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-54260.37955509692;-54404.57599665236;-12568391.617746742;-4225685.5244328305;5899184.052322319;91
59.950703859329224;0.8199183750739651;0.6156438191731771;0.09308413804531818;adam;4;mse;random_uniform;0.0;relu;100;32;{'model__optimizer': 'adam', 'model__neurons': 4, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-54316.36405598193;-1783.3420698964;-54298.390742865806;-36799.36562291472;24760.068791761543;36
60.42322246233622;0.32051387776550977;0.501030445098877;0.018879065840278555;adam;4;mae;random_uniform;0.2;relu;100;32;{'model__optimizer': 'adam', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-18859.673084711536;-54460.55051065993;-54298.38022765279;-42539.53460767475;16744.32154712373;42
29.93166732788086;0.13807246422867483;0.7462391058603922;0.08702112392700785;sgd;16;mse;random_uniform;0.2;relu;50;32;{'model__optimizer': 'sgd', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};;;;;;92
31.278886715571087;1.8532325855419518;0.7350401083628336;0.06146342482271861;adam;32;mae;normal;0.3;tanh;50;32;{'model__optimizer': 'adam', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-54091.34532200366;-54237.0015871675;-54074.09332844116;-54134.14674587077;73.06958603094802;68
30.938901742299397;0.9068982056452538;0.6424261728922526;0.14184842094353364;adam;4;mae;random_uniform;0.0;tanh;50;32;{'model__optimizer': 'adam', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-54293.06570087939;-54435.864971414325;-54274.18848189474;-54334.37305139616;72.17822719204703;88
63.53543623288473;0.3521683017277276;0.7023046016693115;0.06372952130820549;adam;16;mae;random_uniform;0.3;relu;100;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-13244.349319505998;-3448.185595106365;-7950.963111455587;-8214.499342022651;4003.60624416096;19
66.77121925354004;1.377679302265347;0.9935675462086996;0.07373673818642625;adam;4;mse;random_uniform;0.2;tanh;100;32;{'model__optimizer': 'adam', 'model__neurons': 4, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-54258.147423138915;-54401.84862543654;-54239.16843184591;-54299.72149347379;72.62925874984653;83
63.7237643400828;7.857955269696465;0.8371612230936686;0.1386967781176429;sgd;4;mae;normal;0.0;relu;100;32;{'model__optimizer': 'sgd', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-54190.373749127684;-54334.55020166945;-54172.379918662315;-54232.43462315315;72.57932678797422;69
41.05175805091858;0.8496907035620157;0.9767914613087972;0.12142552492948099;sgd;16;mse;random_uniform;0.3;tanh;50;32;{'model__optimizer': 'sgd', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-8816.909301338777;-8993.325183667539;-8804.123144447534;-8871.452543151283;86.33491696803094;20
94.17106970151265;2.427874548783981;1.1525421142578125;0.3150619263332902;adam;16;mae;normal;0.3;tanh;100;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-54087.62402378589;-54232.48858667922;-54071.02367171407;-54130.378760726395;72.51990687305205;63
44.27706456184387;0.734713859938459;1.2376056512196858;0.15549419154502422;sgd;32;mae;normal;0.2;tanh;50;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-52021.7286558149;-52166.84892298293;-52003.03996810079;-52063.872515632866;73.21394273024909;48
